"","Strain Set","Simulated Divergence","Simulated Chromosome Region","Group 1","Group 2","n1","n2","Adjusted p-value","Significance"
"1","swept.chr.sims","Hyperdivergent","Arm","I","II",168,483,0.00007,"****"
"2","swept.chr.sims","Hyperdivergent","Arm","I","III",168,359,0.00001,"****"
"3","swept.chr.sims","Hyperdivergent","Arm","I","IV",168,360,0.00006,"****"
"4","swept.chr.sims","Hyperdivergent","Arm","I","V",168,236,0.00002,"****"
"5","swept.chr.sims","Hyperdivergent","Arm","I","X",168,247,0,"****"
"6","swept.chr.sims","Hyperdivergent","Arm","II","X",483,247,0.00054,"***"
"7","swept.chr.sims","Hyperdivergent","Arm","III","X",359,247,0.01327,"*"
"8","swept.chr.sims","Hyperdivergent","Arm","IV","X",360,247,0.00343,"**"
"9","unswept.chr.sims","Hyperdivergent","Arm","III","X",343,269,0.03806,"*"
"10","unswept.chr.sims","Hyperdivergent","Center","I","II",102,99,0.00015,"***"
"11","unswept.chr.sims","Hyperdivergent","Center","I","III",102,221,0,"****"
"12","unswept.chr.sims","Hyperdivergent","Center","I","V",102,383,0,"****"
"13","unswept.chr.sims","Hyperdivergent","Center","I","X",102,216,0.00015,"***"
"14","unswept.chr.sims","Hyperdivergent","Center","III","IV",221,180,0.0002,"***"
"15","unswept.chr.sims","Hyperdivergent","Center","IV","V",180,383,0.00085,"***"
"16","swept.chr.sims","Hyperdivergent","Tip","III","IV",24,183,0.00191,"**"
"17","swept.chr.sims","Hyperdivergent","Tip","III","V",24,303,0.00099,"***"
"18","swept.chr.sims","Hyperdivergent","Tip","III","X",24,145,0.00002,"****"
"19","unswept.chr.sims","Hyperdivergent","Tip","I","V",27,156,0.00523,"**"
"20","unswept.chr.sims","Hyperdivergent","Tip","III","V",14,156,0.01308,"*"
"21","swept.chr.sims","Non-Hyperdivergent","Arm","I","II",190,488,0.02112,"*"
"22","swept.chr.sims","Non-Hyperdivergent","Arm","I","III",190,374,0.00002,"****"
"23","swept.chr.sims","Non-Hyperdivergent","Arm","I","IV",190,376,0.00001,"****"
"24","swept.chr.sims","Non-Hyperdivergent","Arm","I","V",190,232,0.00731,"**"
"25","swept.chr.sims","Non-Hyperdivergent","Arm","I","X",190,226,0,"****"
"26","swept.chr.sims","Non-Hyperdivergent","Arm","II","X",488,226,0.00004,"****"
"27","swept.chr.sims","Non-Hyperdivergent","Arm","V","X",232,226,0.01199,"*"
"28","unswept.chr.sims","Non-Hyperdivergent","Arm","I","V",408,404,0.04823,"*"
"29","unswept.chr.sims","Non-Hyperdivergent","Arm","IV","V",289,404,0.04823,"*"
"30","swept.chr.sims","Non-Hyperdivergent","Center","I","IV",15,114,0.04399,"*"
"31","swept.chr.sims","Non-Hyperdivergent","Center","I","X",15,321,0.01193,"*"
"32","swept.chr.sims","Non-Hyperdivergent","Center","II","X",216,321,0.00542,"**"
"33","swept.chr.sims","Non-Hyperdivergent","Center","III","X",155,321,0.00028,"***"
"34","unswept.chr.sims","Non-Hyperdivergent","Center","I","III",157,237,0.00608,"**"
"35","unswept.chr.sims","Non-Hyperdivergent","Center","I","V",157,364,0.00018,"***"
"36","unswept.chr.sims","Non-Hyperdivergent","Center","III","X",237,185,0.00703,"**"
"37","unswept.chr.sims","Non-Hyperdivergent","Center","IV","V",199,364,0.02493,"*"
"38","unswept.chr.sims","Non-Hyperdivergent","Center","V","X",364,185,0.00018,"***"
"39","swept.chr.sims","Non-Hyperdivergent","Tip","I","III",15,24,0.02849,"*"
"40","swept.chr.sims","Non-Hyperdivergent","Tip","II","III",63,24,0.00959,"**"
"41","swept.chr.sims","Non-Hyperdivergent","Tip","III","IV",24,176,0.02297,"*"
"42","swept.chr.sims","Non-Hyperdivergent","Tip","III","X",24,99,0.02148,"*"
