"","Trait Heritability","Strain Set","Group 1","Group 2","n1","n2","Adjusted p-value","Significance"
"1","0.2","Divergent","Hyperdivergent_Arm","Hyperdivergent_Center",596,494,0.01267,"*"
"2","0.2","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",596,646,0.04938,"*"
"3","0.2","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Center",596,533,0.02022,"*"
"4","0.2","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Arm",494,646,1,"ns"
"5","0.2","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Center",494,533,1,"ns"
"6","0.2","Divergent","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",646,533,1,"ns"
"7","0.2","Swept","Hyperdivergent_Arm","Hyperdivergent_Center",499,500,0.28262,"ns"
"8","0.2","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",499,721,0.80975,"ns"
"9","0.2","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Center",499,474,0.33643,"ns"
"10","0.2","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Arm",500,721,0.03077,"*"
"11","0.2","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Center",500,474,0.84549,"ns"
"12","0.2","Swept","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",721,474,0.05489,"ns"
"13","0.5","Divergent","Hyperdivergent_Arm","Hyperdivergent_Center",598,500,1,"ns"
"14","0.5","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",598,654,0.05458,"ns"
"15","0.5","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Center",598,546,1,"ns"
"16","0.5","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Arm",500,654,0.00634,"**"
"17","0.5","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Center",500,546,1,"ns"
"18","0.5","Divergent","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",654,546,0.04277,"*"
"19","0.5","Swept","Hyperdivergent_Arm","Hyperdivergent_Center",499,500,0.80117,"ns"
"20","0.5","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",499,724,0.07675,"ns"
"21","0.5","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Center",499,476,0.80117,"ns"
"22","0.5","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Arm",500,724,0.25694,"ns"
"23","0.5","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Center",500,476,0.51862,"ns"
"24","0.5","Swept","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",724,476,0.00574,"**"
"25","0.8","Divergent","Hyperdivergent_Arm","Hyperdivergent_Center",600,500,0.4394,"ns"
"26","0.8","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",600,654,0.00367,"**"
"27","0.8","Divergent","Hyperdivergent_Arm","Non-Hyperdivergent_Center",600,546,0.4394,"ns"
"28","0.8","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Arm",500,654,0.00002,"****"
"29","0.8","Divergent","Hyperdivergent_Center","Non-Hyperdivergent_Center",500,546,0.98855,"ns"
"30","0.8","Divergent","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",654,546,0.00001,"****"
"31","0.8","Swept","Hyperdivergent_Arm","Hyperdivergent_Center",499,501,1,"ns"
"32","0.8","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Arm",499,724,0,"****"
"33","0.8","Swept","Hyperdivergent_Arm","Non-Hyperdivergent_Center",499,476,1,"ns"
"34","0.8","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Arm",501,724,0,"****"
"35","0.8","Swept","Hyperdivergent_Center","Non-Hyperdivergent_Center",501,476,1,"ns"
"36","0.8","Swept","Non-Hyperdivergent_Arm","Non-Hyperdivergent_Center",724,476,0,"****"
